sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
76,6.4131581,"2026-04-22T16:39:25.0839940Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02987686,1.561526,-0.7570033,0.07784721,-0.1116092,0.03931121,0.9899181,0,,,,,,
77,6.42444210000001,"2026-04-22T16:39:25.0954837Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02961915,1.561092,-0.7566206,0.07901648,-0.1114182,0.03671804,0.9899465,0,,,,,,
78,6.43551410000001,"2026-04-22T16:39:25.1064861Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02925634,1.560804,-0.7561694,0.07991173,-0.1099645,0.03539157,0.9900855,0,,,,,,
79,6.4467841,"2026-04-22T16:39:25.1174918Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02862653,1.56049,-0.7557585,0.08193089,-0.1064209,0.03364848,0.9903685,0,,,,,,
80,6.4582261,"2026-04-22T16:39:25.1289281Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02781914,1.560184,-0.7553489,0.08389296,-0.1015183,0.03063737,0.9908165,0,,,,,,
81,6.4689466,"2026-04-22T16:39:25.1399233Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0270251,1.559946,-0.7549347,0.08440488,-0.0977565,0.02795439,0.9912306,0,,,,,,
82,6.4799421,"2026-04-22T16:39:25.1509802Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02625611,1.559747,-0.7544643,0.0855714,-0.09346059,0.02629271,0.9915903,0,,,,,,
83,6.4911422,"2026-04-22T16:39:25.1618856Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02554426,1.559609,-0.7540147,0.08564539,-0.09081815,0.02474161,0.9918693,0,,,,,,
84,6.5021828,"2026-04-22T16:39:25.1733466Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02495692,1.559513,-0.7535866,0.08551101,-0.08872297,0.02433781,0.9920806,0,,,,,,
85,6.5135959,"2026-04-22T16:39:25.1844391Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02450215,1.559435,-0.7532308,0.08602539,-0.0866489,0.02446593,0.9922162,0,,,,,,
86,6.52472090000001,"2026-04-22T16:39:25.1954307Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02393127,1.559343,-0.7528638,0.08710933,-0.08415259,0.02442876,0.9923374,0,,,,,,
87,6.5357652,"2026-04-22T16:39:25.2068911Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02335447,1.559206,-0.7525728,0.08907285,-0.08173838,0.02408074,0.9923734,0,,,,,,
88,6.5467598,"2026-04-22T16:39:25.2178320Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02304783,1.558949,-0.7523032,0.09110323,-0.07954455,0.02321924,0.9923879,0,,,,,,
89,6.5581057,"2026-04-22T16:39:25.2292775Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02261517,1.558667,-0.7520137,0.09262674,-0.07754336,0.02188303,0.9924356,0,,,,,,
90,6.56942360000001,"2026-04-22T16:39:25.2395865Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02224954,1.558419,-0.7517346,0.09351055,-0.07612575,0.02099537,0.9924816,0,,,,,,
91,6.5802869,"2026-04-22T16:39:25.2513419Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02208065,1.558267,-0.7515007,0.09429894,-0.07511332,0.02082061,0.9924879,0,,,,,,
